Package,LibPath,Version,Priority,Built
mvtnorm,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0-6,NA,3.4.0
networkD3,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4,NA,3.4.0
NeuralNetTools,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.5.0,NA,3.4.0
nloptr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0.4,NA,3.4.0
NLP,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1-11,NA,3.4.1
NMF,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.20.6,NA,3.4.0
officer,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.5,NA,3.4.1
openssl,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.9.6,NA,3.4.0
pander,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.6.1,NA,3.4.3
pbkrtest,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4-7,NA,3.4.0
pdftables,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1,NA,3.4.0
pdftools,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.4,NA,3.4.1
pkgmaker,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.22,NA,3.4.0
plotly,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,4.7.1,NA,3.4.1
plyr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.8.4,NA,3.4.0
png,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1-7,NA,3.4.0
polycor,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.7-9,NA,3.4.0
processx,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.0.0.1,NA,3.4.3
prophet,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.1,NA,3.4.0
proto,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0.0,NA,3.4.2
pryr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.2,NA,3.4.0
psych,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.7.5,NA,3.4.0
purrr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.2.3,NA,3.4.1
quantmod,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4-10,NA,3.4.1
quantreg,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,5.33,NA,3.4.0
radiant,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.8.0,NA,3.4.0
radiant.basics,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.8.0,NA,3.4.0
radiant.data,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.8.1,NA,3.4.0
radiant.design,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.8.0,NA,3.4.0
radiant.model,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.8.0,NA,3.4.0
radiant.multivariate,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.8.0,NA,3.4.0
RApiDatetime,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.0.3,NA,3.4.1
raster,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.5-8,NA,3.4.0
RColorBrewer,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1-2,NA,3.4.0
Rcpp,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.12.15,NA,3.4.3
RcppArmadillo,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.7.960.1.1,NA,3.4.1
RcppEigen,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.3.3.3.0,NA,3.4.0
RCurl,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.95-4.8,NA,3.4.1
RDSTK,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1,NA,3.4.1
reactR,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.2,NA,3.4.0
readr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.1,NA,3.4.0
readxl,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0.0,NA,3.4.0
registry,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.3,NA,3.4.0
rematch,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0.1,NA,3.4.0
rematch2,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.0.1,NA,3.4.3
reshape2,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.4.2,NA,3.4.0
reticulate,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.4,NA,3.4.3
rex,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.2,NA,3.4.3
rgexf,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.15.3,NA,3.4.0
RgoogleMaps,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.4.1,NA,3.4.2
rjson,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.2.15,NA,3.4.1
rlang,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.2,NA,3.4.1
rlist,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4.6.1,NA,3.4.0
rmarkdown,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.6,NA,3.4.1
